"sku";"name";"short_description";"description";"category";"category_url";"manufacturer";"ean";"size";"color";"price";"special_price";"image_small";"image_big";"deeplink";"delivery_time";"shipping_costs_de";"shipping_costs_at";"shipping_costs_ch"
"13733100486932";"Schale Edelstahl 16 cm 869 SILBER 16";"  Farbe: silber  ";"M&uuml;slischale aus Edelstahl  Details:     Durchmesser: ca. 20 cm   McKinley Lasergravur  ";"Camping > Outdoor-Küche > Picknick & Grill|Camping > Outdoor-Küche > Geschirr";"http://teamalpin.test.kirchbergerknorr.de/de_de/camping-reisen/outdoor-kueche/picknick-grill.html | http://teamalpin.test.kirchbergerknorr.de/de_de/camping-reisen/outdoor-kueche/geschirr.html";"McKINLEY";"7611310965328";"20";"869 SILBER";"8.99";"8.99";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/small_image/150x/9df78eab33525d08d6e5fb8d27136e95/1/3/137331004.jpg.jpg";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/image/300x/9df78eab33525d08d6e5fb8d27136e95/1/3/137331004.jpg.jpg";"http://teamalpin.test.kirchbergerknorr.de/de_de/mckinley-schale-edelstahl-20-cm.html";"Verfügbar - Lieferzeit 1-3 Tage";"2.95";"3.95";"20"
"140038700050";"Zentauri GTX 12 Schwarz 10";"  Gr&ouml;&szlig;e: 4 - 12,5  Gewicht 1150 g (Gr&ouml;&szlig;e: 7,5)  ";"Besonders warmer (absolut wintertauglich) und technischer Hochtourenstiefel mit individueller Volumenanpassung - auch f&uuml;r au&szlig;eralpine Gipfel! Die Schn&uuml;r&ouml;sen erm&ouml;glichen eine Zwei-Zonen-Schn&uuml;rung. Der Schuh kann am unteren Teil des Schafts (im Rist- und Vorfu&szlig;bereich) und im Kn&ouml;chel- sowie Schienbeinbereich unterschiedlich fest geschn&uuml;rt werden. &Uuml;ber einen Tiefzughaken wird der Schuh im Kn&ouml;chelbereich perfekt fixiert. Dies wirkt einem Umknicken entgegen, es verhindert Blasenbildung (durch verbesserten Fersensitz) und sorgt f&uuml;r Trittsicherheit. Details:    K&auml;lteisolierung nach DIN EN 344-1 bis -15 &deg;C   Memory Kunststoffbrandsohle mit Kork- und Vliesauflage   Versteifungseinlage   spezieller Alpinleisten   Auswechselbare Zunge   Obermaterial: Bergrindleder   Futter: GORE-TEX&reg; Laminat  Sohle: Vibram&reg; Alpin   Fersenweitenfixierung (einstellbarer Fersenhalt) nach Bedarf   Spezielle K&auml;lteisolierung im Schaft und Sohlenboden  Farbe: schwarz  ";"Schuhe > Steigeisenfeste Schuhe > Expeditionsbergschuhe|Schuhe > Steigeisenfeste Schuhe > Steigeisenfeste Bergschuhe|Sale > Schuhe|Schuhe > Steigeisenfeste Schuhe > Eiskletterschuhe";"http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/steigeisenfeste-schuhe/steigeisenfeste-bergschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/steigeisenfeste-schuhe/expeditionsbergschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/steigeisenfeste-schuhe/eiskletterschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/sale/schuhe.html";"HANWAG";"4047761020249";"10";"12 Schwarz";"399.95";"299";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/small_image/150x/9df78eab33525d08d6e5fb8d27136e95/1/4/1400387.jpg";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/image/300x/9df78eab33525d08d6e5fb8d27136e95/1/4/1400387.jpg";"http://teamalpin.test.kirchbergerknorr.de/de_de/zentauri-gtx.html";"Verfügbar - Lieferzeit 1-3 Tage";"0";"3.95";"20"
"140038700052";"Zentauri GTX 12 Schwarz 10,5";"  Gr&ouml;&szlig;e: 4 - 12,5  Gewicht 1150 g (Gr&ouml;&szlig;e: 7,5)  ";"Besonders warmer (absolut wintertauglich) und technischer Hochtourenstiefel mit individueller Volumenanpassung - auch f&uuml;r au&szlig;eralpine Gipfel! Die Schn&uuml;r&ouml;sen erm&ouml;glichen eine Zwei-Zonen-Schn&uuml;rung. Der Schuh kann am unteren Teil des Schafts (im Rist- und Vorfu&szlig;bereich) und im Kn&ouml;chel- sowie Schienbeinbereich unterschiedlich fest geschn&uuml;rt werden. &Uuml;ber einen Tiefzughaken wird der Schuh im Kn&ouml;chelbereich perfekt fixiert. Dies wirkt einem Umknicken entgegen, es verhindert Blasenbildung (durch verbesserten Fersensitz) und sorgt f&uuml;r Trittsicherheit. Details:    K&auml;lteisolierung nach DIN EN 344-1 bis -15 &deg;C   Memory Kunststoffbrandsohle mit Kork- und Vliesauflage   Versteifungseinlage   spezieller Alpinleisten   Auswechselbare Zunge   Obermaterial: Bergrindleder   Futter: GORE-TEX&reg; Laminat  Sohle: Vibram&reg; Alpin   Fersenweitenfixierung (einstellbarer Fersenhalt) nach Bedarf   Spezielle K&auml;lteisolierung im Schaft und Sohlenboden  Farbe: schwarz  ";"Schuhe > Steigeisenfeste Schuhe > Expeditionsbergschuhe|Schuhe > Steigeisenfeste Schuhe > Steigeisenfeste Bergschuhe|Sale > Schuhe|Schuhe > Steigeisenfeste Schuhe > Eiskletterschuhe";"http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/steigeisenfeste-schuhe/steigeisenfeste-bergschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/steigeisenfeste-schuhe/expeditionsbergschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/steigeisenfeste-schuhe/eiskletterschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/sale/schuhe.html";"HANWAG";"4047761020256";"10,5";"12 Schwarz";"399.95";"299";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/small_image/150x/9df78eab33525d08d6e5fb8d27136e95/1/4/1400387.jpg";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/image/300x/9df78eab33525d08d6e5fb8d27136e95/1/4/1400387.jpg";"http://teamalpin.test.kirchbergerknorr.de/de_de/zentauri-gtx.html";"Verfügbar - Lieferzeit 1-3 Tage";"0";"3.95";"20"
"140038700053";"Zentauri GTX 12 Schwarz 11";"  Gr&ouml;&szlig;e: 4 - 12,5  Gewicht 1150 g (Gr&ouml;&szlig;e: 7,5)  ";"Besonders warmer (absolut wintertauglich) und technischer Hochtourenstiefel mit individueller Volumenanpassung - auch f&uuml;r au&szlig;eralpine Gipfel! Die Schn&uuml;r&ouml;sen erm&ouml;glichen eine Zwei-Zonen-Schn&uuml;rung. Der Schuh kann am unteren Teil des Schafts (im Rist- und Vorfu&szlig;bereich) und im Kn&ouml;chel- sowie Schienbeinbereich unterschiedlich fest geschn&uuml;rt werden. &Uuml;ber einen Tiefzughaken wird der Schuh im Kn&ouml;chelbereich perfekt fixiert. Dies wirkt einem Umknicken entgegen, es verhindert Blasenbildung (durch verbesserten Fersensitz) und sorgt f&uuml;r Trittsicherheit. Details:    K&auml;lteisolierung nach DIN EN 344-1 bis -15 &deg;C   Memory Kunststoffbrandsohle mit Kork- und Vliesauflage   Versteifungseinlage   spezieller Alpinleisten   Auswechselbare Zunge   Obermaterial: Bergrindleder   Futter: GORE-TEX&reg; Laminat  Sohle: Vibram&reg; Alpin   Fersenweitenfixierung (einstellbarer Fersenhalt) nach Bedarf   Spezielle K&auml;lteisolierung im Schaft und Sohlenboden  Farbe: schwarz  ";"Schuhe > Steigeisenfeste Schuhe > Expeditionsbergschuhe|Schuhe > Steigeisenfeste Schuhe > Steigeisenfeste Bergschuhe|Sale > Schuhe|Schuhe > Steigeisenfeste Schuhe > Eiskletterschuhe";"http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/steigeisenfeste-schuhe/steigeisenfeste-bergschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/steigeisenfeste-schuhe/expeditionsbergschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/steigeisenfeste-schuhe/eiskletterschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/sale/schuhe.html";"HANWAG";"4047761020263";"11";"12 Schwarz";"399.95";"299";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/small_image/150x/9df78eab33525d08d6e5fb8d27136e95/1/4/1400387.jpg";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/image/300x/9df78eab33525d08d6e5fb8d27136e95/1/4/1400387.jpg";"http://teamalpin.test.kirchbergerknorr.de/de_de/zentauri-gtx.html";"Verfügbar - Lieferzeit 1-3 Tage";"0";"3.95";"20"
"140238700050";"Omega GTX 69 LÃ¤rche 10";"  Gr&ouml;&szlig;en: 6 - 12,5  Gewicht: ca. 1140 g (Gr&ouml;&szlig;e: 7,5)  ";"Kompromissloser, warmer und fester Hochgebirgsstiefel mit individueller Volumenanpassung. Der steigeisenfeste Bergschuhf&uuml;r Kipphebelbindungen. Details:    K&auml;lteisoliert nach DIN EN 344-1 bis -15&deg;C  Memory-Kunststoffbrandsohle  Durchgehende Sohlenversteifung  Auswechselbare Zunge  Fersenweitenfixierung Heel-Fix  Obermaterial: Bergrindleder   Futter: Gore-Tex&reg; Laminat  Sohle: Vibram&reg; Alpin  Farben: l&auml;rche, mattone, schwarz  ";"Schuhe > Steigeisenfeste Schuhe > Expeditionsbergschuhe|Schuhe > Steigeisenfeste Schuhe > Steigeisenfeste Bergschuhe|Sale > Schuhe|Schuhe > Steigeisenfeste Schuhe > Eiskletterschuhe";"http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/steigeisenfeste-schuhe/steigeisenfeste-bergschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/steigeisenfeste-schuhe/expeditionsbergschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/steigeisenfeste-schuhe/eiskletterschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/sale/schuhe.html";"HANWAG";"4047761020447";"10";"69 Lärche";"379.95";"299";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/small_image/150x/9df78eab33525d08d6e5fb8d27136e95/1/4/1402387.jpg";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/image/300x/9df78eab33525d08d6e5fb8d27136e95/1/4/1402387.jpg";"http://teamalpin.test.kirchbergerknorr.de/de_de/hanwag-omega-gtx-bergschuh.html";"Verfügbar - Lieferzeit 1-3 Tage";"0";"3.95";"20"
"14655900690235";"Ski-Stiefel T40 902 SCHWARZ/WEISS 23,5";"  Farbe: schw/weiss/rot  ";"Kinder Ski-Stiefel  Details:    Konstruktion: Heckeinstieg&nbsp;  1 Ratschenschnalle&nbsp;  Microfleece Innenschuh, superwarm&nbsp;  Material: Polytec Lite&nbsp;  Strap als Tragehilfe  ";"Kinder > Kinderskistiefel";"http://teamalpin.test.kirchbergerknorr.de/de_de/kinder/kinderskistiefel.html";"TECNOPRO";"7611312088797";"23,5";"902 SCHWARZ/WEISS";"59.9501";"59.9501";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/small_image/150x/9df78eab33525d08d6e5fb8d27136e95/1/4/146559_1.jpg";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/image/300x/9df78eab33525d08d6e5fb8d27136e95/1/4/146559_1.jpg";"http://teamalpin.test.kirchbergerknorr.de/de_de/ski-stiefel-t40.html";"Verfügbar - Lieferzeit 1-3 Tage";"0";"3.95";"20"
"14887500490146";"Trek-Schuh Cordova II AQ M 901 CHARC/GRAU/ROT 42";"  Farbe: charcoal-grau-rot  Gr&ouml;&szlig;e: 40-46  ";"Trekking-Schuh mit Aquamax Membrane ( wasserdicht und atmungsaktiv)   Details:    Leder/Mesh Obermaterial   Weiche auftrittsdämpfende Einlegesohle   griffige Vibram Aussensohle";"Schuhe > Wandern/Hiking > Trekkingschuhe|Schuhe > Wandern/Hiking > Wanderschuhe";"http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/wandern-hiking/wanderschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/wandern-hiking/trekkingschuhe.html";"McKINLEY";"7611311586423";"42";"901 CHARC/GRAU/ROT";"89.95";"89.95";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/small_image/150x/9df78eab33525d08d6e5fb8d27136e95/1/4/148875004.jpg.jpg";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/image/300x/9df78eab33525d08d6e5fb8d27136e95/1/4/148875004.jpg.jpg";"http://teamalpin.test.kirchbergerknorr.de/de_de/mckinley-trek-schuh-cordova-ii-aqx-m.html";"Verfügbar - Lieferzeit 1-3 Tage";"0";"3.95";"20"
"14887500490152";"Trek-Schuh Cordova II AQ M 901 CHARC/GRAU/ROT 45";"  Farbe: charcoal-grau-rot  Gr&ouml;&szlig;e: 40-46  ";"Trekking-Schuh mit Aquamax Membrane ( wasserdicht und atmungsaktiv)   Details:    Leder/Mesh Obermaterial   Weiche auftrittsdämpfende Einlegesohle   griffige Vibram Aussensohle";"Schuhe > Wandern/Hiking > Trekkingschuhe|Schuhe > Wandern/Hiking > Wanderschuhe";"http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/wandern-hiking/wanderschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/wandern-hiking/trekkingschuhe.html";"McKINLEY";"7611311586454";"45";"901 CHARC/GRAU/ROT";"89.95";"89.95";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/small_image/150x/9df78eab33525d08d6e5fb8d27136e95/1/4/148875004.jpg.jpg";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/image/300x/9df78eab33525d08d6e5fb8d27136e95/1/4/148875004.jpg.jpg";"http://teamalpin.test.kirchbergerknorr.de/de_de/mckinley-trek-schuh-cordova-ii-aqx-m.html";"Verfügbar - Lieferzeit 1-3 Tage";"0";"3.95";"20"
"14890400490040";"Trek-Schuh Wabash II AQ W 900 D.GRAU/SILVER 39";"  Farbe: d.grau-silver  Gr&ouml;&szlig;e: 36-42  ";"Trekking-Schuh mit Aquamax Membrane ( waserdicht und atmungsaktiv )  Details:    Obermaterial aus Synthetik-/Meshmaterial   herausnehmbare Einlegesohle mit 3 unterschiedlich weichen D&auml;mpfungselementen   Gummiaussensohle mit Flexzonen im Vorfu&szlig;bereich   leichtg&auml;ngige Plastik&ouml;sen  ";"Schuhe > Wandern/Hiking > Trekkingschuhe|Schuhe > Wandern/Hiking > Wanderschuhe";"http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/wandern-hiking/wanderschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/wandern-hiking/trekkingschuhe.html";"McKINLEY";"7611311610906";"39";"900 D.GRAU/SILVER";"69.95";"69.95";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/small_image/150x/9df78eab33525d08d6e5fb8d27136e95/1/4/148904004.jpg.jpg";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/image/300x/9df78eab33525d08d6e5fb8d27136e95/1/4/148904004.jpg.jpg";"http://teamalpin.test.kirchbergerknorr.de/de_de/mckinley-trek-schuh-wabash-ii-aqx-w.html";"Verfügbar - Lieferzeit 1-3 Tage";"0";"3.95";"20"
"14890400490044";"Trek-Schuh Wabash II AQ W 900 D.GRAU/SILVER 41";"  Farbe: d.grau-silver  Gr&ouml;&szlig;e: 36-42  ";"Trekking-Schuh mit Aquamax Membrane ( waserdicht und atmungsaktiv )  Details:    Obermaterial aus Synthetik-/Meshmaterial   herausnehmbare Einlegesohle mit 3 unterschiedlich weichen D&auml;mpfungselementen   Gummiaussensohle mit Flexzonen im Vorfu&szlig;bereich   leichtg&auml;ngige Plastik&ouml;sen  ";"Schuhe > Wandern/Hiking > Trekkingschuhe|Schuhe > Wandern/Hiking > Wanderschuhe";"http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/wandern-hiking/wanderschuhe.html | http://teamalpin.test.kirchbergerknorr.de/de_de/schuhe/wandern-hiking/trekkingschuhe.html";"McKINLEY";"7611311611354";"41";"900 D.GRAU/SILVER";"69.95";"69.95";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/small_image/150x/9df78eab33525d08d6e5fb8d27136e95/1/4/148904004.jpg.jpg";"http://teamalpin.test.kirchbergerknorr.de/media/catalog/product/cache/0/image/300x/9df78eab33525d08d6e5fb8d27136e95/1/4/148904004.jpg.jpg";"http://teamalpin.test.kirchbergerknorr.de/de_de/mckinley-trek-schuh-wabash-ii-aqx-w.html";"Verfügbar - Lieferzeit 1-3 Tage";"0";"3.95";"20"
